ID,Name,Age,Gender,Status
1,John,25,Male,Active
2,Emma,32,Female,Active
3,Michael,45,Male,Inactive
4,Olivia,28,Female,Active
5,James,40,Male,Active
6,Ava,22,Female,Active
7,Robert,50,Male,Inactive
8,Isabella,27,Female,Active
9,William,35,Male,Active
10,Sophia,30,Female,Active
11,David,29,Male,Inactive
12,Mia,24,Female,Active
13,Richard,37,Male,Active
14,Charlotte,26,Female,Active
15,Joseph,33,Male,Active
16,Amelia,23,Female,Active
17,Thomas,42,Male,Inactive
18,Evelyn,31,Female,Active
19,Charles,38,Male,Active
20,Abigail,29,Female,Active
21,Daniel,36,Male,Active
22,Harper,34,Female,Active
23,Matthew,41,Male,Inactive
24,Emily,28,Female,Active
25,Anthony,39,Male,Active
26,Elizabeth,25,Female,Active
27,Mark,43,Male,Inactive
28,Sofia,27,Female,Active
29,Paul,46,Male,Active
30,Avery,21,Female,Active
