ID,Name,Age,Gender,Status
1,John,25,Male,Active
2,Emma,32,Female,Inactive
3,Michael,45,Male,Active
4,Olivia,28,Female,Active
5,James,40,Male,Inactive
6,David,29,Male,Active
7,Robert,50,Male,Inactive
8,Isabella,27,Female,Active
9,William,35,Male,Inactive
10,Sophia,30,Female,Active
11,Richard,37,Male,Active
12,Mia,24,Female,Inactive
13,Joseph,33,Male,Active
14,Charlotte,26,Female,Inactive
15,Thomas,42,Male,Active
16,Amelia,23,Female,Active
17,Charles,38,Male,Inactive
18,Evelyn,31,Female,Active
19,Daniel,36,Male,Active
20,Abigail,29,Female,Inactive
21,Matthew,41,Male,Inactive
22,Anthony,39,Male,Active
23,Elizabeth,25,Female,Inactive
24,Mark,43,Male,Active
25,Paul,46,Male,Inactive
26,John,34,Male,Active
27,James,37,Male,Active
28,Robert,28,Male,Inactive
29,William,45,Male,Active
30,David,32,Male,Active
